year_month,amazon_stock_price,amazon_stock_volume,apple_stock_price,apple_stock_volume,google_stock_price,google_stock_volume,meta_stock_price,meta_stock_volume,microsoft_stock_price,microsoft_stock_volume,bitcoin_price,bitcoin_volume,ethereum_price,ethereum_volume,gold_price,gold_volume,s&p500_price,s&p500_volume,gold_returns,bitcoin_returns,ethereum_returns,s&p500_returns,6_months_max,percent_change,crisis,gold_return,amazon_stock_return,covariance_conditionnelle,interaction_t_minus_1,interaction_dum_t_minus_1,h_t_minus_1,dum_crise,meta_stock_return,apple_stock_return,google_stock_return,microsoft_stock_return,bitcoin_return,ethereum_return
2006-06,35.63,115117400,59.254999999999995,640593700,395.465,284475000,177.585,623649587,22.554949999999998,1971637200,17705.37086743071,517572575203,1382.316098022461,354925375295,600.0499877929688,6197.0,1254.9850463867188,54873260000,-0.1175735473632813,0.0,0.0,-0.02413252757419726,1299.4500122070312,-3.4218296512069477,0,-12.507983343605908,4.653338059864074,-0.0,-0.0,-0.0,-0.0,0,0.0,-11.150982567967473,1.3902728162192222,-5.057479044145917,0.0,0.0
2006-07,32.29,228663400,59.394999999999996,624276500,402.79,254787800,177.585,623649587,23.415,1332298100,17705.37086743071,517572575203,1382.316098022461,354925375295,644.8500061035156,99344.0,1252.4800415039062,46348220000,0.07466047699679978,0.0,0.0,-0.0019960436102604007,1299.4500122070312,-3.614603891022292,0,7.200477634132302,-9.843039484756092,0.0,-0.0,-0.0,-0.0,0,0.0,0.23598831010909477,1.8353046603224281,3.742228858097251,0.0,0.0
2006-08,28.375,159186800,66.28999999999999,638844500,376.68,213728900,177.585,623649587,25.05005,1134188400,17705.37086743071,517572575203,1382.316098022461,354925375295,632.5,4608.0,1284.02001953125,50485620000,-0.019151749998639445,0.0,0.0,0.02518202045716622,1299.4500122070312,-1.187424874433947,0,-1.9337520473741026,-12.924910896861707,0.0,0.0,0.0,0.0,0,0.0,10.982900851179721,-6.701931367788452,6.749898090136083,0.0,0.0
2006-09,31.245,146018700,72.8,632912800,397.705,242858900,177.585,623649587,26.455,1097482600,17705.37086743071,517572575203,1382.316098022461,354925375295,607.4500122070312,17592.0,1315.6050415039062,49001440000,-0.03960472378334978,0.0,0.0,0.024598543240927695,1315.6050415039062,0.0,0,-4.04103332053918,9.63508875794782,0.0,0.0,0.0,0.0,0,0.0,9.367689894934008,5.431450378342324,5.456935281922911,0.0,0.0
2006-10,34.585,209485000,77.6,513855600,445.075,316709800,177.585,623649587,28.00005,1290967400,17705.37086743071,517572575203,1382.316098022461,354925375295,616.3,49592.7,1358.2749633789062,56793620000,0.014569079949170227,0.0,0.0,0.03243368680483516,1358.2749633789062,0.0,0,1.4463970571913844,10.156069867150297,0.0,0.0,0.0,0.0,0,0.0,6.385147198653277,11.253228286564072,5.676111953180026,0.0,0.0
2006-11,40.06,146802400,85.4745,494103000,489.031,236642800,177.585,623649587,29.29005,1239142000,17705.37086743071,517572575203,1382.316098022461,354925375295,630.25,114115.0,1384.4349975585938,55343930000,0.02263508031802708,0.0,0.0,0.01925974849349399,1384.4349975585938,0.0,0,2.2382708099831885,14.695826818512428,0.0,0.0,0.0,0.0,0,0.0,9.665065865543845,9.418307485761433,4.504157201754822,0.0,0.0
2006-12,39.17,121040700,84.55,603242600,472.37,183144000,177.585,623649587,29.53,1137160900,17705.37086743071,517572575203,1382.316098022461,354925375295,630.8500061035156,3823.0,1408.8700561523438,47578780000,0.0009520128576210318,0.0,0.0,0.017649841730988047,1408.8700561523438,0.0,0,0.09515599807874148,-2.246718255993232,0.0,0.0,0.0,0.0,0,0.0,-1.087501050002211,-3.466330534570361,0.8158827850387738,0.0,0.0
2007-01,37.72,130435300,89.85,971777900,487.055,248923900,177.585,623649587,30.439999999999998,1324518200,17705.37086743071,517572575203,1382.316098022461,354925375295,631.25,101525.0,1422.7899780273438,56686200000,0.0006340554689931999,0.0,0.0,0.009880202800970572,1422.7899780273438,0.0,0,0.06338545407529333,-3.772068991248332,0.0,0.0,0.0,0.0,0,0.0,6.079853788497872,3.0614476247893077,3.0350837237653567,0.0,0.0
2007-02,39.34,157975400,86.83500000000001,490084100,474.525,227599400,177.585,623649587,29.365000000000002,1290850900,17705.37086743071,517572575203,1382.316098022461,354925375295,664.8500061035156,3981.0,1425.4949951171875,51844990000,0.05322773244121293,0.0,0.0,0.0019012061735170782,1425.4949951171875,0.0,0,5.185947989343502,4.205135519565642,-0.0,0.0,0.0,0.0,0,0.0,-3.4131847030490228,-2.606274934967245,-3.595404401900216,0.0,0.0
2007-03,38.64,142153100,90.28999999999999,568523000,451.5,235995600,177.585,623649587,27.575000000000003,1269506500,17705.37086743071,517572575203,1382.316098022461,354925375295,656.5,52996.0,1401.4349975585938,67622250000,-0.012559232950079213,0.0,0.0,-0.01687834586652881,1425.4949951171875,-1.6878345866528854,0,-1.2638766740153695,-1.795380361659582,-0.0,-0.0,-0.0,-0.0,0,0.0,3.901694612030994,-4.973893084401746,-6.289392383491665,0.0,0.0
2007-04,51.695,315622753,96.05,480705000,472.31,185730000,177.585,623649587,29.15,958964900,17705.37086743071,517572575203,1382.316098022461,354925375295,702.7150024414062,60696.2,1457.1950073242188,57032470000,0.07039604332278171,0.0,0.0,0.039787795982520135,1457.1950073242188,0.0,0,6.802871393766857,29.107305569433912,0.0,-0.0,-0.0,-0.0,0,0.0,6.184217689517796,4.5060176804160195,5.554534765693506,0.0,0.0
2007-05,66.505,330242400,110.36,620181000,483.095,198963200,177.585,623649587,30.53,1327154700,17705.37086743071,517572575203,1382.316098022461,354925375295,669.5,158741.0,1506.1300048828125,64958050000,-0.0472666761432573,0.0,0.0,0.03358163959705762,1506.1300048828125,0.0,0,-4.842024254929227,25.1916067766603,0.0,0.0,0.0,0.0,0,0.0,13.887886013451961,2.257777202154786,4.6254893950285165,0.0,0.0
2007-06,70.715,238788700,121.505,831412200,516.29,257837700,177.585,623649587,29.97,1181412800,17705.37086743071,517572575203,1382.316098022461,354925375295,657.0,4027.0,1512.3700561523438,65322800000,-0.01867064973861088,0.0,0.0,0.004143102686555045,1512.3700561523438,0.0,0,-1.884714664661666,6.1380581667203655,-0.0,0.0,0.0,0.0,0,0.0,9.620766484816103,6.64553014311251,-1.8512925418214758,0.0,0.0
2007-07,78.505,264827800,134.10999999999999,857806200,528.73,233027400,177.585,623649587,30.395,1295548000,17705.37086743071,517572575203,1382.316098022461,354925375295,702.7150024414062,60696.2,1505.0750122070312,70337430000,0.06958143446180554,0.0,0.0,-0.004823583960576472,1512.3700561523438,-0.48235839605764164,0,6.7267389195908995,10.450460255502163,0.0,-0.0,-0.0,-0.0,0,0.0,9.87049445256023,2.3809281472127117,1.408123987211404,0.0,0.0
2007-08,75.425,175514000,125.635,870028500,503.64,177222800,177.585,623649587,28.805,1228579500,17705.37086743071,517572575203,1382.316098022461,354925375295,659.5500183105469,8547.0,1437.2449951171875,91381760000,-0.06142601763288602,0.0,0.0,-0.0450675325413703,1512.3700561523438,-4.967372947483746,0,-6.339359562340947,-4.002353198236017,-0.0,0.0,0.0,0.0,0,0.0,-6.527948108752897,-4.86161774525007,-5.372913801633934,0.0,0.0
2007-09,86.995,122273200,142.5,747543700,541.335,138687900,177.585,623649587,29.060000000000002,1117419500,17705.37086743071,517572575203,1382.316098022461,354925375295,709.1000061035156,27393.0,1489.0150146484375,57809700000,0.07512695992320984,0.0,0.0,0.036020316443703404,1512.3700561523438,-1.5442676485756641,0,7.243875686025264,14.27118606935548,0.0,-0.0,-0.0,-0.0,0,0.0,12.596112207338548,7.217658373300829,0.8813674957790452,0.0,0.0
2007-10,92.18,231988500,171.525,831349700,638.305,310590000,177.585,623649587,33.144999999999996,1772076700,17705.37086743071,517572575203,1382.316098022461,354925375295,759.8500061035156,2720.0,1532.8250122070312,76022580000,0.07156959464557033,0.0,0.0,0.029422132837886528,1532.8250122070312,0.0,0,6.9124484494778535,5.789254155368268,0.0,0.0,0.0,0.0,0,0.0,18.538702886824943,16.477791467204554,13.152921755121788,0.0,0.0
2007-11,83.985,180196500,171.655,935706800,681.63,342606600,177.585,623649587,35.09,1830846800,17705.37086743071,517572575203,1382.316098022461,354925375295,809.4499816894531,239351.0,1475.9450073242188,86246950000,0.06527600866950634,0.0,0.0,-0.037107957157427984,1532.8250122070312,-3.7107957157427958,0,6.323392865440017,-9.310497582339595,0.0,0.0,0.0,0.0,0,0.0,0.07576199441587445,6.5670763092467945,5.702431390176904,0.0,0.0
2007-12,89.9,127062200,189.97500000000002,616167100,688.65,170456500,177.585,623649587,34.675,1064817100,17705.37086743071,517572575203,1382.316098022461,354925375295,810.1000061035156,7681.0,1479.6099853515625,64821670000,0.0008030445719522383,0.0,0.0,0.0024831399606060067,1532.8250122070312,-3.4716961448095973,0,0.0802722304178684,6.805973000860834,-0.0,0.0,0.0,0.0,0,0.0,10.140583603473535,1.0246170732319095,-1.1897223394228662,0.0,0.0
2008-01,83.135,288335400,163.2,1256210300,608.185,315262000,177.585,623649587,33.5,1950301600,17705.37086743071,517572575203,1382.316098022461,354925375295,891.3500061035156,231851.0,1370.9100341796875,98475340000,0.10029625896536265,0.0,0.0,-0.07346527277324866,1532.8250122070312,-10.56317431787019,1,9.557946987464682,-7.823214898523187,-0.0,-0.0,-0.0,-0.0,1,0.0,-15.191604202584214,-12.425404736403422,-3.4473527369874475,0.0,0.0
2008-02,71.685,211217800,126.015,888069800,493.945,354015500,177.585,623649587,30.134999999999998,2324580800,17705.37086743071,517572575203,1382.316098022461,354925375295,928.8999938964844,8233.0,1356.385009765625,78536130000,0.04212709657917246,0.0,0.0,-0.01059516966972518,1532.8250122070312,-11.51077266069399,1,4.1263909577416715,-14.818427179411152,-0.0,-0.0,-0.0,-0.0,1,0.0,-25.857549504508643,-20.80549370420887,-10.585815189601334,0.0,0.0
2008-03,69.065,192685600,131.87,818831200,442.415,290938800,177.585,623649587,28.23,1452390200,17705.37086743071,517572575203,1382.316098022461,354925375295,963.2999877929688,216432.0,1308.3300170898438,93189170000,0.03703304351654224,0.0,0.0,-0.03542872586308288,1532.8250122070312,-14.645833237934275,1,3.6363793268697298,-3.723343054630811,-0.0,-0.0,-0.0,-0.0,1,0.0,4.541564133468762,-11.017581935643667,-6.530204466960942,0.0,0.0
2008-04,76.645,197849400,161.805,813820800,512.93,285802500,177.585,623649587,30.015,1444720000,17705.37086743071,517572575203,1382.316098022461,354925375295,905.8500061035156,13006.0,1364.4599609375,85978630000,-0.05963872357257849,0.0,0.0,0.04290197665303719,1479.6099853515625,-7.782457914860739,0,-6.1491140931573,10.413628146614748,0.0,-0.0,-0.0,-0.0,0,0.0,20.457531767589444,14.789102801781889,6.1312014438408555,0.0,0.0
2008-05,78.155,152573200,182.12,663864800,570.13,209055200,177.585,623649587,29.240000000000002,1405170200,17705.37086743071,517572575203,1382.316098022461,354925375295,887.5999755859375,221797.0,1406.6549682617188,80990480000,-0.020146856979203487,0.0,0.0,0.030924327962857268,1479.6099853515625,-4.930692399491295,0,-2.0352572607172723,1.9509662729363868,-0.0,0.0,0.0,0.0,0,0.0,11.827390397107918,10.57250213813858,-2.615962182222857,0.0,0.0
2008-06,78.75,152905700,177.05,695564100,551.565,187380600,177.585,623649587,28.34,1560439100,17705.37086743071,517572575203,1382.316098022461,354925375295,870.4454512162642,123702.27272727272,1338.0250244140625,96614040000,-0.019326864400090682,0.0,0.0,-0.048789465360127404,1406.6549682617188,-4.878946536012741,0,-1.9516070045723162,0.75842433583079,-0.0,-0.0,-0.0,-0.0,0,0.0,-2.8233631908668535,-3.310471287063775,-3.1263400619043424,0.0,0.0
2008-07,72.685,215813300,163.72,705348600,510.64,207962700,177.585,623649587,26.39,1579425446,17705.37086743071,517572575203,1382.316098022461,354925375295,939.75,250610.0,1246.3049926757812,124980570000,0.07961963462144261,0.0,0.0,-0.06854881640083421,1406.6549682617188,-11.399382165769536,1,7.660878893727564,-8.014324182745419,-0.0,-0.0,-0.0,-0.0,1,0.0,-7.827452693371057,-7.709485118154616,-7.12890837473016,0.0,0.0
2008-08,82.9,149044400,166.68,467348400,486.28,137490300,177.585,623649587,26.785,1206949700,17705.37086743071,517572575203,1382.316098022461,354925375295,848.5,9253.0,1280.2999877929688,86266010000,-0.09710029263101894,0.0,0.0,0.027276625959911538,1406.6549682617188,-8.98265625328817,0,-10.214379777000643,13.150002626296105,0.0,-0.0,-0.0,-0.0,0,0.0,1.791815493005058,-4.888025126020869,1.4856878817690935,0.0,0.0
2008-09,74.045,192463400,137.04500000000002,859555800,431.445,267887800,177.585,623649587,25.630000000000003,1927538700,17705.37086743071,517572575203,1382.316098022461,354925375295,829.0,18800.0,1204.7300415039062,140007320000,-0.0229817324690631,0.0,0.0,-0.05902518707301785,1406.6549682617188,-14.35497199482701,1,-2.3249929538986076,-11.296204565178272,-0.0,0.0,0.0,0.0,1,0.0,-19.57664675063685,-11.964454962879705,-4.407848895694383,0.0,0.0
2008-10,57.65,332074700,100.7,1479525400,363.21,398191400,177.585,623649587,24.06,3044579400,17705.37086743071,517572575203,1382.316098022461,354925375295,803.3500061035156,3365.0,1003.4150085449219,159823030000,-0.03094088527923322,0.0,0.0,-0.16710385399510408,1406.6549682617188,-28.666586250010035,1,-3.142966304837121,-25.028276977439866,-0.0,-0.0,-0.0,-0.0,1,0.0,-30.816353932336764,-17.215886067103753,-6.321282982944706,0.0,0.0
2008-11,46.705,228051500,95.465,843552200,309.83,315749100,177.585,623649587,20.58,1794911800,17705.37086743071,517572575203,1382.316098022461,354925375295,765.5,377779.0,874.2650146484375,115660210000,-0.04711521231835092,0.0,0.0,-0.12871044662145137,1338.0250244140625,-34.660040081739965,1,-4.826127698918531,-21.0539021390256,-0.0,-0.0,-0.0,-0.0,1,0.0,-5.338611155908877,-15.895741942453927,-15.623098014062926,0.0,0.0
2008-12,46.835,206194300,94.07499999999999,721923100,296.04,225787700,177.585,623649587,19.86,1546943400,17705.37086743071,517572575203,1382.316098022461,354925375295,811.7999877929688,9599.0,867.2699890136719,112884470000,0.060483328272983305,0.0,0.0,-0.008001035747242535,1280.2999877929688,-32.260407929183394,1,5.872477427006535,0.2779561336281857,-0.0,-0.0,-0.0,-0.0,1,0.0,-1.4667351685926948,-4.552917963395359,-3.561207178887697,0.0,0.0
2009-01,53.685,204072300,87.685,646633600,317.54,219542700,177.585,623649587,18.875,1564043400,17705.37086743071,517572575203,1382.316098022461,354925375295,867.9499816894531,215420.0,874.0749816894531,112090640000,0.06916727610348783,0.0,0.0,0.007846452387359149,1280.2999877929688,-31.7288924452606,1,6.688009885043872,13.650284622500497,-0.0,-0.0,-0.0,-0.0,1,0.0,-7.034148935824487,7.010921432009976,-5.0869363481938095,0.0,0.0
2009-02,62.745,186780200,94.755,495266100,355.275,222946400,177.585,623649587,18.015,1456213400,17705.37086743071,517572575203,1382.316098022461,354925375295,966.4499918619791,78720.22222222222,804.7650146484375,124492210000,0.11348581398757229,0.0,0.0,-0.0792952189376821,1204.7300415039062,-33.19955617244993,1,10.74954676139889,15.59452606761725,-0.0,-0.0,-0.0,-0.0,1,0.0,7.75437658975174,11.228834282855955,-4.6633550935031804,0.0,0.0
2009-03,67.715,227672300,96.155,550878500,324.305,227721500,177.585,623649587,16.875,1625752800,17705.37086743071,517572575203,1382.316098022461,354925375295,966.4499918619791,78720.22222222222,749.8849792480469,161843640000,0.0,0.0,0.0,-0.06819386330351973,1003.4150085449219,-25.266716875655014,1,0.0,7.622882754506335,-0.0,-0.0,-0.0,-0.0,1,0.0,1.466685974403736,-9.120770646050278,-6.537150744146302,0.0,0.0
2009-04,79.195,185032000,115.545,422202900,372.18,175489100,177.585,623649587,19.689999999999998,1562400700,17705.37086743071,517572575203,1382.316098022461,354925375295,898.75,17300.0,836.010009765625,138855320000,-0.07005017583118522,0.0,0.0,0.11485098768605906,874.2650146484375,-4.375676052666448,0,-7.262464679697504,15.660544440704891,0.0,-0.0,-0.0,-0.0,0,0.0,18.369859171022814,13.769317719565882,15.42776558924406,0.0,0.0
2009-05,78.35,137603400,127.64,337755100,400.961,113955500,177.585,623649587,19.975,1101122400,17705.37086743071,517572575203,1382.316098022461,354925375295,930.9500122070312,234559.0,898.1349792480469,131614940000,0.035827551829798354,0.0,0.0,0.07431127469375465,898.1349792480469,0.0,0,3.520067421925039,-1.0727196712353813,0.0,0.0,0.0,0.0,0,0.0,9.955373693700402,7.448655750587784,1.4370599001304318,0.0,0.0
